artist,song,genre,rock,hiphop,country
21-savage,whoa,hip-hop,4.0791226522281333e-143,1.0,2.1667044643516398e-114
21-savage,x_bitch,hip-hop,2.371711308429083e-142,1.0,2.769102749364289e-113
21-savage,air_it_out_feat_yung_nudy,hip-hop,4.130677544251879e-143,1.0,4.1214799865576057e-128
21-savage,no_heart,hip-hop,1.1284850519263433e-123,1.0,4.30775140190771e-114
21-savage,ocean_drive,hip-hop,5.232807635499579e-85,1.0,3.377066386402703e-61
21-savage,no_advance,hip-hop,5.330680030228027e-162,1.0,5.426482881546876e-149
21-savage,bad_guy,hip-hop,3.2178662398286132e-130,1.0,2.4701664034657287e-86
21-savage,mad_high,hip-hop,8.456496230635129e-103,1.0,5.368184738918684e-84
21-savage,real_nigga,hip-hop,1.3520290667747152e-111,1.0,2.110548175534162e-93
21-savage,savage_mode,hip-hop,6.567378505782647e-165,1.0,2.8181475435098954e-154
21-savage,drip,hip-hop,1.1342059521006888e-90,1.0,2.586367485726756e-69
21-savage,one_foot,hip-hop,8.004835962432516e-102,1.0,3.1697273610534208e-83
21-savage,lord_forgive,hip-hop,8.789533945356947e-105,1.0,2.382127335923172e-90
21-savage,oh_ok,hip-hop,4.5818941803250305e-113,1.0,5.129547617978029e-109
21-savage,drinkin_and_driving,hip-hop,1.8217243691499073e-69,1.0,2.680516456074113e-43
21-savage,gang,hip-hop,6.106529806947262e-129,1.0,2.5771552269717107e-132
21-savage,7_min_freestyle,hip-hop,0.0,1.0,0.0
21-savage,numb,hip-hop,3.4111425160046505e-129,1.0,8.311570117290448e-127
21-savage,slime,hip-hop,5.850642578728291e-139,1.0,5.61094611988426e-122
21-savage,help_me,hip-hop,6.312344332167042e-85,1.0,3.0226513094736063e-77
21-savage,facetime,hip-hop,1.4214523029469195e-37,4.212446121983509e-25,1.0
21-savage,vette,hip-hop,5.124246546853738e-82,1.0,1.6296838930858513e-52
21-savage,21_way,hip-hop,2.6461609093572396e-35,1.0,2.001827753286762e-24
21-savage,how_to_ball,hip-hop,2.7774412883512164e-145,1.0,6.73222028835949e-129
21-savage,front_door_prod_by_will_a_fool,hip-hop,1.9434618640390195e-102,1.0,4.231758462944887e-91
21-savage,bank_account,hip-hop,1.1386931886327113e-94,1.0,7.202633136888515e-73
21-savage,mind_yo_business,hip-hop,1.0728309478239611e-80,1.0,5.741573119852203e-74
21-savage,supply,hip-hop,9.836416206096266e-60,1.0,2.026773303657524e-50
21-savage,fuckin_niggaz_bitches,hip-hop,1.6311621127418026e-96,1.0,4.968402083937518e-84
21-savage,picky,hip-hop,2.060044145577416e-77,1.0,1.1223150639541852e-68
21-savage,dead_people,hip-hop,1.1744012954677144e-39,1.0,1.5321083904818667e-35
21-savage,start_firing,hip-hop,7.167136078337955e-76,1.0,1.5425191396898043e-62
21-savage,special,hip-hop,1.3086368279971984e-47,1.0,2.690580488234742e-22
21-savage,dirty_k,hip-hop,4.849601396219151e-109,1.0,5.773434189183952e-104
21-savage,extendo,hip-hop,3.601669480134705e-119,1.0,1.3239979234741588e-121
21-savage,xxl_freshman_2016_freestyle,hip-hop,2.4093796496854038e-30,1.0,8.865358933358735e-23
21-savage,close_my_eyes,hip-hop,5.985757413687879e-156,1.0,4.395970630566692e-136
21-savage,deserve,hip-hop,3.3294541623901144e-123,1.0,1.4329095124014743e-113
21-savage,dip_dip,hip-hop,1.2798575739650087e-128,1.0,1.0101374148082256e-124
21-savage,feel_it,hip-hop,7.116068156133528e-46,1.0,3.119484037526936e-30
21-savage,money_convo,hip-hop,2.4262722004810113e-144,1.0,5.098952788808769e-128
21-savage,pimp,hip-hop,2.0552781567092005e-92,1.0,5.310570297206285e-87
21-savage,woah,hip-hop,4.0791226522281333e-143,1.0,2.1667044643516398e-114
21-savage,famous,hip-hop,2.587563098278095e-135,1.0,4.243060606667391e-119
21-savage,thug_life,hip-hop,1.071543133290281e-133,1.0,2.3403468398597104e-122
21-savage,motorcycle,hip-hop,4.432085972595354e-106,1.0,9.476152088481445e-79
21-savage,skrrt_skrrt,hip-hop,3.341435955741836e-126,1.0,1.0388186368543927e-105
21-savage,nothin_new,hip-hop,3.584748222434983e-68,1.0,1.4974414385852531e-40
21-savage,soda,hip-hop,2.771215253137284e-25,1.0,1.032457194332471e-24
21-savage,no_peace,hip-hop,5.664575127051121e-150,1.0,1.1344219544153138e-150
21-savage,wow,hip-hop,2.0111375830914492e-130,1.0,8.321704278108636e-163
21-savage,twenty1_savage,hip-hop,1.0393137861534922e-81,1.0,2.5681324078228186e-65
21-savage,bitch_nigga,hip-hop,6.880092876906575e-169,1.0,7.178772431182795e-179
21-savage,red_opps,hip-hop,1.849376090585664e-167,1.0,9.868360114133154e-162
21-savage,bad_business,hip-hop,8.08825774876206e-121,1.0,6.015064824949977e-101
21-savage,whole_lot,hip-hop,4.066516652076065e-260,1.0,1.238816161877392e-219
21-savage,baby_girl,hip-hop,1.7941459575223678e-103,1.0,5.82490618751388e-77
21-savage,trap_money,hip-hop,1.5660299931266443e-56,1.0,6.348092571461852e-57
6ix9ine,gotti,hip-hop,8.577772674721744e-93,1.0,2.4702233835318394e-79
6ix9ine,gummo,hip-hop,2.2804279446803054e-129,1.0,1.6121981840236787e-121
6ix9ine,doowee,hip-hop,7.619223842077821e-94,1.0,3.063899092187555e-74
6ix9ine,chocolatÃÂ©,hip-hop,1.9809233382720326e-64,1.0,9.778291651045797e-79
6ix9ine,buba,hip-hop,1.5786650999259532e-43,1.0,7.534403392562502e-40
6ix9ine,kooda,hip-hop,2.3275444018712033e-134,1.0,7.007745413828254e-113
6ix9ine,93,hip-hop,3.1455456742523866e-118,1.0,7.88815948900803e-107
6ix9ine,mooky,hip-hop,7.862546187085761e-94,1.0,5.281175911099294e-90
6ix9ine,billy,hip-hop,3.144971001010871e-107,1.0,2.6759624033717067e-107
a$ap-rocky,bass,hip-hop,2.40484232774157e-59,1.0,5.337226124221651e-51
a$ap-rocky,roll_one_up,hip-hop,3.650948498846635e-44,1.0,2.8030283840193513e-32
a$ap-rocky,kissin_pink,hip-hop,9.516447392554607e-35,1.0,2.2976200163488606e-17
a$ap-rocky,get_lit,hip-hop,1.0957411370753176e-41,1.0,2.239566613096122e-27
a$ap-rocky,wassup,hip-hop,3.243977124125824e-60,1.0,1.1736151907313128e-47
a$ap-rocky,1_train,hip-hop,5.156710560046244e-112,1.0,9.100111637555636e-82
a$ap-rocky,brand_new_guy,hip-hop,4.79494109636446e-125,1.0,7.789612858329468e-114
a$ap-rocky,trilla,hip-hop,1.329701424231035e-95,1.0,4.992894080606019e-77
a$ap-rocky,keep_it_g,hip-hop,1.8414767677679356e-42,1.0,2.2545935946221445e-40
a$ap-rocky,acid_drip,hip-hop,4.809367675053577e-14,0.999996874979496,3.125020507161533e-06
a$ap-rocky,jodye,hip-hop,7.626306234435173e-52,1.0,1.6144103691258179e-50
a$ap-rocky,phoenix,hip-hop,1.2992517917213632e-39,1.0,2.8514486554785402e-36
a$ap-rocky,better_things,hip-hop,1.709122191221204e-38,1.0,1.5086693004289614e-28
a$ap-rocky,canal_st,hip-hop,7.807681461456569e-67,1.0,5.945773108630905e-60
a$ap-rocky,fine_whine,hip-hop,1.8552764386864083e-45,1.0,2.1970300542013767e-35
a$ap-rocky,west_side_highway,hip-hop,9.968218600509558e-16,0.4116376151182158,0.5883623848817253
a$ap-rocky,pharsyde,hip-hop,7.72119846206757e-06,0.9838997389135781,0.016092539888019827
a$ap-rocky,holy_ghost,hip-hop,3.016242428611746e-23,1.0,5.200314190665517e-15
a$ap-rocky,jukebox_joints,hip-hop,1.8745934693049054e-59,1.0,1.7134795689342612e-46
a$ap-rocky,everyday,hip-hop,3.8293783616297535e-47,1.0,7.78389438931449e-33
a$ap-rocky,electric_body,hip-hop,2.624209960962594e-87,1.0,3.696629343243228e-69
a$ap-rocky,wavybone,hip-hop,8.248372614605482e-89,1.0,4.13960665031681e-64
a$ap-rocky,palace,hip-hop,5.842281708342651e-60,1.0,7.66048331208223e-54
a$ap-rocky,fashion_killa,hip-hop,7.848232035673044e-120,1.0,2.4763580910370644e-92
a$ap-rocky,peso,hip-hop,2.621442297408764e-30,1.0,1.0294184992194787e-15
a$ap-rocky,pretty_flacko,hip-hop,1.0029161162869723e-128,1.0,5.412737310498574e-115
a$ap-rocky,ld,hip-hop,6.033384971669189e-13,1.8130783813500214e-14,0.9999999999993179
a$ap-rocky,suddenly,hip-hop,3.012045426026412e-49,1.0,2.1446692824084058e-35
a$ap-rocky,long_live_asap,hip-hop,1.4737958397423632e-22,0.9999999999995453,2.465074545138365e-13
a$ap-rocky,long_live_aap,hip-hop,6.041936150396024e-23,1.0,5.534331445745208e-14
a$ap-rocky,leaf,hip-hop,3.8772664394187404e-64,1.0,4.675311930506856e-47
a$ap-rocky,lvl,hip-hop,3.1543289232740165e-56,1.0,1.2899327456235955e-51
a$ap-rocky,r__cali,hip-hop,3.2380856429683885e-48,1.0,3.723576883689568e-44
a$ap-rocky,hands_on_the_wheel__live,hip-hop,0.026104008483897042,1.919599243403407e-05,0.9738767955236962
a$ap-rocky,purple_swag,hip-hop,8.856719592879591e-45,1.0,7.000645104283965e-36
a$ap-rocky,angels,hip-hop,7.603937471893858e-93,1.0,2.0655001564350382e-85
a$ap-rocky,pain,hip-hop,1.7419265102141622e-38,1.0,7.979505173485107e-39
a$ap-rocky,take_it_easy_freestyle,hip-hop,3.002292235687141e-42,1.0,9.656821424825625e-32
a$ap-rocky,hell,hip-hop,9.752551973579664e-32,1.0,1.392975508902234e-23
a$ap-rocky,m,hip-hop,2.144845585885217e-102,1.0,2.0929973505188888e-71
a$ap-rocky,jd,hip-hop,3.279022424144509e-37,1.0,5.934566990479563e-36
