"","Artist","Song","Genre","Lyrics"
"1","queen","Bohemian Rhapsody","rock","[Intro] Is this the real life? Is this just fantasy? Caught in a landslide, no escape from reality Open your eyes, look up to the skies and see I'm just a poor boy, I need no sympathy Because I'm easy come, easy go, little high, little low Any way the wind blows doesn't really matter to me, to me [Verse 1]Mama, just killed a man Put a gun against his head, pulled my trigger, now he's dead Mama, life had just begun But now I've gone and thrown it all awayMama, ooh, didn't mean to make you cry If I'm not back again this time tomorrow Carry on, carry on as if nothing really matters [Verse 2] Too late, my time has come Sends shivers down my spine, body's aching all the time Goodbye, everybody, I've got to go Gotta leave you all behind and face the truth Mama, ooh (Any way the wind blows) I don't wanna die I sometimes wish I'd never been born at all [Verse 3] I see a little silhouetto of a manScaramouche, Scaramouche, will you do the Fandango? Thunderbolt and lightning, very, very frightning me(Galileo) Galileo, (Galileo) Galileo, Galileo Figaro magnifico But I'm just a poor boy, nobody loves me He's just a poor boy from a poor family Spare him his life from this monstrosityEasy come, easy go, will you let me go?Bismillah! No, we will not let you go (Let him go!) Bismillah! We will not let you go (Let him go!) Bismillah! We will not let you go (Let me go) Will not let you go (Let me go) Will not let you go (Let me go) Ah No, no, no, no, no, no, no(Oh, mamma mia, mamma mia) Mamma mia, let me goBeelzebub has a devil put aside for me, for me, for me! [Verse 4]So you think you can stone me and spit in my eye? So you think you can love me and leave me to die?Oh, baby, can't do this to me, baby! Just gotta get out, just gotta get right outta here! [Outro] Nothing really matters, anyone can see Nothing really matters Nothing really matters to me Any way the wind blows"
"2","queen","Love of My Life","rock","[Verse 1] Love of my life, you've hurt meYou've broken my heart, and now you leave me [Pre-Chorus] Love of my life, can't you see? [Chorus]Bring it back, bring it back, don't take it away from me Because you don't know what it means to me [Verse 2] Love of my life, don't leave me You've stolen my love, and now desert me [Pre-Chorus] Love of my life, can't you see? [Chorus] Bring it back, bring it back, don't take it away from me Because you don't know what it means to me [Bridge]You will remember, when this is blown over And everything's all by the way When I grow older, I will be there at your side To remind you how I still love you (I still love you) [Chorus] Back, hurry back, please bring it back home to me Because you don't know what it means to me [Outro] Love of my life Love of my life Ooh, ooh"
"3","queen","Don't Stop Me Now","rock","[Intro] Tonight I'm gonna have myself a real good time I feel alive And the world, I'll turn it inside out, yeah I'm floating around in ecstasySo don't stop me now Don't stop me 'Cause I'm having a good time, having a good time [Verse 1] I'm a shooting star leaping through the skyLike a tiger defying the laws of gravityI'm a racing car passing by like Lady Godiva I'm gonna go, go, go, there's no stopping me [Pre-Chorus]I'm burning through the sky, yeah Two hundred degrees, that's why they call me Mister FahrenheitI'm travelling at the speed of light I wanna make a supersonic man outta you [Chorus]Don't stop me now I'm having such a good time I'm having a ball Don't stop me now If you wanna have a good time Just give me a call Don't stop me now, 'cause I'm having a good time Don't stop me now, yes, I'm having a good time I don't wanna stop at all, yeah [Verse 2]I'm a rocket ship on my way to Mars on a collision course I am a satellite, I'm out of control I'm a sex machine ready to reloadLike an atom bomb about to, oh, oh, oh, oh, oh, explode! [Pre-Chorus]I'm burning through the sky, yeah Two hundred degrees, that's why they call me Mister FahrenheitI'm travelling at the speed of light I wanna make a supersonic woman of you [Bridge]Don't stop me, don't stop me, don't stop me (Hey, hey, hey!) Don't stop me, don't stop me, ooh, ooh, ooh (I like it!) Don't stop me, don't stop me (Have a good time, good time) Don't stop me, don't stop me, aah Let loose, honey, all right[Guitar Solo] [Pre-Chorus]Oh, I'm burning through the sky, yeah Two hundred degrees, that's why they call me Mister Fahrenheit (Hey!)Travelling at the speed of light I wanna make a supersonic man outta you (Yeah, yeah) [Chorus]Don't stop me now I'm having such a good time I'm having a ball Don't stop me now If you wanna have a good time (Ooh, alright) Just give me a call Don't stop me now, 'cause I'm having a good time (Yeah, yeah) Don't stop me now, yes, I'm having a good time I don't wanna stop at all [Outro] Ah, da da da da Da da ah ah Ah da da, ah ah ah Ah, da da Ah, da da ah ah Ooh, ooh ooh, ooh ooh"
"4","queen","Under Pressure","rock","[Intro: Freddie Mercury] Mmm num ba de Dum bum ba be Doo buh dum ba beh beh [Verse 1: David Bowie & Freddie Mercury]Pressure pushing down on me Pressing down on you, no man ask forUnder pressure that burns a building down Splits a family in twoPuts people on streets[Bridge: Freddie Mercury] Um ba ba be Um ba ba be De day da Ee day da- that's okay [Chorus: David Bowie & Freddie Mercury]It's the terror of knowing what this world is aboutWatching some good friends screaming, ""Let me out!""Pray tomorrow gets me higherPressure on people, people on streets [Verse 2: David Bowie & Freddie Mercury]Day day de mm hm Da da da ba ba OkayChipping around, kick my brains around the floorThese are the days it never rains but it poursEe do ba be Ee da ba ba ba Um bo bo Be lapPeople on streetsEe da de da dePeople on streetsEe da de da de da de da [Chorus: David Bowie & Freddie Mercury]It's the terror of knowing what this world is aboutWatching some good friends screaming, 'Let me out'Pray tomorrow gets me higher, highPressure on people, people on streets [Bridge: David Bowie & Freddie Mercury]Turned away from it all like a blind manSat on a fence but it don't workKeep coming up with love but it's so slashed and tornWhy, why, why? Love, love, love, love, love Insanity laughs under pressure we're breaking [Verse 3: Freddie Mercury]Can't we give ourselves one more chance? Why can't we give love that one more chance? Why can't we give love, give love, give love, give love Give love, give love, give love, give love, give love? [Outro: David Bowie]Because love's such an old-fashioned wordAnd love dares you to care for The people on the (People on streets) edge of the night And love (People on streets) dares you to change our way of Caring about ourselvesThis is our last dance This is our last danceThis is ourselves under pressure Under pressure Under pressure Pressure"
"5","queen","Killer Queen","rock","[Verse 1] *finger snapping*She keeps a Moët et Chandon in her pretty cabinetLet them eat cake she says, just like Marie AntoinetteA built-in remedy for Khrushchev and Kennedy (Ooh, ooh)At anytime an invitation, you can't decline (Ooh, ooh)Caviar and cigarettes, well versed in etiquette Extraordinarily nice[Chorus]She's a Killer QueenGunpowder, gelatine Dynamite with a laser beam Guaranteed to blow your mind (Pa-pa-pa-pa) (Anytime) Ooh Recommended at the price Insatiable an appetiteWanna try? [Verse 2]To avoid complications, she never kept the same addressIn conversation, she spoke just like a baroness Met a man from China, went down to Geisha Minah (Ooh, ooh)(Killer, killer, she's a killer Queen) Then again incidentally, if you're that way inclinedPerfume came naturally from Paris (Naturally) For cars, she couldn't care lessFastidious and precise[Chorus]She's a Killer QueenGunpowder, gelatine Dynamite with a laser beam Guaranteed to blow your mind (Pa-pa-pa-pa) Anytime[Guitar Solo] [Bridge] Drop of a hat she's as willing as playful as a pussy cat (Ooh) Then momentarily out of action (Ooh) Temporarily out of gas (Ta-taaa) To absolutely drive (You wild, wild) She's all out to get you[Chorus]She's a Killer QueenGunpowder, gelatine Dynamite with a laser beam (Pa-pa-pa-ra) Guaranteed to blow your mind (Anytime) Ooh Recommended at the price Insatiable an appetiteWanna try? [Outro]Wanna try?"
"6","queen","Another One Bites the Dust","rock","[Intro] Ooh, let's go! [Verse 1]Steve walks warily down the street With the brim pulled way down low Ain't no sound but the sound of his feet Machine guns ready to goAre you ready? Hey, are you ready for this? Are you hanging on the edge of your seat?Out of the doorway the bullets rip To the sound of the beat, yeah [Chorus]Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust, yeah Hey, I'm gonna get you too Another one bites the dust [Verse 2]How do you think I'm going to get along Without you, when you're gone You took me for everything that I had And kicked me out on my own Are you happy, are you satisfied? How long can you stand the heat?Out of the doorway the bullets rip To the sound of the beat Look out [Chorus]Another one bites the dust Another one bites the dust And another one gone, and another one goneAnother one bites the dust Hey, I'm gonna get you, tooAnother one bites the dust [Bridge]Hey Oh, take it Bite the dust, hey Another one bites the dustAnother one bites the dust, owAnother one bites the dust, hey hey Another one bites the dust, hey-eh-eh Ooh [Verse 3]There are plenty of ways you can hurt a man And bring him to the groundYou can beat him, you can cheat him, you can treat him bad And leave him when he's down, yeahBut I'm ready, yes I'm ready for you I'm standing on my own two feetOut of the doorway the bullets rip Repeating the sound of the beat Oh yeah [Chorus]Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust, yeah Hey, I'm gonna get you, tooAnother one bites the dust [Outro]Shoot out Ay-yeah Alright"
"7","queen","We Will Rock You","rock","[Verse 1]Buddy, you're a boy, make a big noise Playing in the street, gonna be a big man somedayYou got mud on your face, you big disgraceKicking your can all over the place, singing [Chorus]We will, we will rock you We will, we will rock you [Verse 2]Buddy, you're a young man, hard man Shouting in the street, gonna take on the world someday You got blood on your face, you big disgraceWaving your banner all over the place [Chorus]We will, we will rock you Sing it out We will, we will rock you [Verse 3]Buddy, you're an old man, poor man Pleading with your eyes, gonna make you some peace somedayYou got mud on your face, big disgraceSomebody better put you back into your place [Chorus]We will, we will rock you, sing it We will, we will rock you, everybody We will, we will rock you, hmm We will, we will rock you, alright[Guitar Solo]"
"8","queen","Radio Ga Ga","rock","[Intro] Radio... Radio... [Verse 1] I'd sit alone and watch your lightMy only friend through teenage nights And everything I had to know I heard it on my radio You gave them all those old time starsThrough wars of worlds invaded by MarsYou made them laugh, you made them cry You made us feel like we could fly (Radio)So don't become some background noiseA backdrop for the girls and boys Who just don't know or just don't care And just complain when you're not there [Pre-Chorus]You had your time, you had the powerYou've yet to have your finest hour Radio (Radio) [Chorus]All we hear is Radio ga ga Radio goo goo Radio ga ga All we hear is Radio ga ga Radio blah blah Radio, what's new?Radio, someone still loves you [Verse 2]We watch the shows, we watch the stars On videos for hours and hoursWe hardly need to use our ears How music changes through the years Let's hope you never leave, old friendLike all good things on you we depend So stick around 'cause we might miss youWhen we grow tired of all this visual [Pre-Chorus]You had your time, you had the powerYou've yet to have your finest hour Radio (Radio) [Chorus]All we hear is Radio ga ga Radio goo goo Radio ga ga All we hear is Radio ga ga Radio goo goo Radio ga ga All we hear is Radio ga ga Radio blah blah Radio, what's new?Someone still loves you! [Bridge](Radio ga ga  Radio ga ga) (Radio ga ga  Radio ga ga) (Radio ga ga  Radio ga ga) [Outro]You had your time, you had the powerYou've yet to have your finest hour Radio (Radio)"
"9","queen","We Are The Champions","rock","[Verse 1] I've paid my dues Time after timeI've done my sentence But committed no crime And bad mistakes I've made a fewI've had my share of sand kicked in my face But I've come through(And I need to go on and on, and on, and on) [Chorus]We are the champions, my friends And we'll keep on fighting till the end We are the champions We are the champions No time for losers 'Cause we are the champions Of the world [Verse 2]I've taken my bows And my curtain callsYou brought me fame and fortune and everything that goes with it I thank you allBut it's been no bed of roses No pleasure cruiseI consider it a challenge before the whole human race And I ain't gonna lose (And I need just go on and on, and on, and on) [Chorus]We are the champions, my friends And we'll keep on fighting till the end We are the champions We are the champions No time for losers 'Cause we are the champions Of the world [Guitar Solo] [Chorus]We are the champions, my friends And we'll keep on fighting till the end, oh We are the champions We are the championsNo time for losers 'Cause we are the champions..."
"10","queen","The Show Must Go On","rock","[Verse 1] Empty spaces, what are we living for? Abandoned places, I guess we know the score, on and on Does anybody know what we are looking for? Another hero, another mindless crime Behind the curtain, in the pantomime Hold the line Does anybody want to take it anymore? [Chorus]The show must go on The show must go on, yeahInside my heart is breaking My makeup may be flaking But my smile, still, stays on[Verse 2] Whatever happens, I'll leave it all to chance Another heartache, another failed romance, on and onDoes anybody know what we are living for? I guess I'm learning I must be warmer now I'll soon be turning, round the corner now Outside the dawn is breakingBut inside in the dark I'm aching to be free [Chorus] The show must go on The show must go on Inside my heart is breakingMy makeup may be flaking But my smile, still, stays on [Bridge]My soul is painted like the wings of butterfliesFairy tales of yesterday, grow but never die I can fly, my friends [Chorus]The show must go on The show must go onI'll face it with a grin I'm never giving in On with the show [Verse 3] I'll top the bill I'll overkillI have to find the will to carry on On with the show Show must go on Show must go on"
